Hang khai thac,Container,Kich co,Kich co ISO,Ghi chu,Ghi chu noi bo,Tinh trang vo,Nam san xuat,So ngay luu bai,Lich trinh tau,Ten tau,Chuyen nhap,Chuyen xuat,Huong,Trang thai,F/E,Phuong an,Vi tri tren bai,Cang xep,Cang do,Cang dich,Ngay nhap bai,Ngay ra bai,Loai Hang,Hang Hoa,Trong Luong,Nhom Trong Luong,VGM,Huy,Nhiet do,CLASS,UNNO,Chu hang,So Booking,So Van Don,So niem chi,So niem chi 1,So niem chi 2,Thanh Ly Hai Quan,So to khai,Hang noi/ ngoai,Cang chuyen,Cang giao nhan,So lenh,Thong gio,DVT thong gio
VLC,VNLU2092800,20DC,22G0,"Mop xung quanh va da,Cong thanh,Cong tay, Rach ron,Cu muc ri set,nut san ngoai",,,,38,STORAGE/0000/0000,STORAGE,CN,CX,Storage Empty,Stacking,E,Luu rong,K-19-02-3,VNDAN,VNTTS,VNTTS,14/01/2024 23:44:29,,Empty,EMPTY,2,A,TRUE,FALSE,,,,,,,,,,Hold,,Hang noi,,,,,
VLC,VNLU3096333,20DC,22G0,"Mop xung quanh va da,Cong thanh,Cong tay, Rach ron,Cu muc ri set,nut san ngoai",,,,38,STORAGE/0000/0000,STORAGE,CN,CX,Storage Empty,Stacking,E,Luu rong,K-19-01-2,VNDAN,VNTTS,VNTTS,14/01/2024 23:47:50,,Empty,EMPTY,2,A,TRUE,FALSE,,,,,,,,,,Hold,,Hang noi,,,,,
VLC,VNLU3095580,20DC,22G0,"Mop xung quanh va da,Cong thanh,Cong tay, Rach ron,Cu muc ri set,nut san ngoai",,,,37,STORAGE/0000/0000,STORAGE,CN,CX,Storage Empty,Stacking,E,Luu rong,K-19-03-1,VNDAN,VNTTS,VNTTS,15/01/2024 00:49:55,,Empty,EMPTY,2,A,TRUE,FALSE,,,,,,,,,,Hold,,Hang noi,,,,,
VLC,BISU2834210,20DC,22G0,"Mop xung quanh va da,Cong thanh,Cong tay, Rach ron,Cu muc ri set,nut san ngoai",,,,37,STORAGE/0000/0000,STORAGE,CN,CX,Storage Empty,Stacking,E,Luu rong,K-19-03-3,VNDAN,VNTTS,VNTTS,15/01/2024 00:51:01,,Empty,EMPTY,2,A,TRUE,FALSE,,,,,,,,,,Hold,,Hang noi,,,,,
VLC,VNLU2093725,20DC,22G0,"Mop xung quanh va da,Cong thanh,Cong tay, Rach ron,Cu muc ri set,nut san ngoai",,,,37,STORAGE/0000/0000,STORAGE,CN,CX,Storage Empty,Stacking,E,Luu rong,K-19-02-4,VNDAN,VNTTS,VNTTS,15/01/2024 00:55:14,,Empty,EMPTY,2,A,TRUE,FALSE,,,,,,,,,,Hold,,Hang noi,,,,,
VLC,BISU2840300,20DC,22G0,"Mop xung quanh va da,Cong thanh,Cong tay, Rach ron,Cu muc ri set,nut san ngoai",,,,37,STORAGE/0000/0000,STORAGE,CN,CX,Storage Empty,Stacking,E,Luu rong,K-19-01-1,VNDAN,VNTTS,VNTTS,15/01/2024 00:56:04,,Empty,EMPTY,2,A,TRUE,FALSE,,,,,,,,,,Hold,,Hang noi,,,,,
VLC,BISU2822821,20DC,22G0,"Mop xung quanh va da,Cong thanh,Cong tay, Rach ron,Cu muc ri set,nut san ngoai",,,,37,STORAGE/0000/0000,STORAGE,CN,CX,Storage Empty,Stacking,E,Luu rong,A-33-07-1,TCTCI,VNTTS,VNTTS,15/01/2024 01:08:36,,Empty,EMPTY,2.3,A,TRUE,FALSE,,,,,,,,,,Hold,,Hang noi,,,,,
VLC,BISU2828080,20DC,22G0,"Mop xung quanh va da,Cong thanh,Cong tay, Rach ron,Cu muc ri set,nut san ngoai",,,,37,STORAGE/0000/0000,STORAGE,CN,CX,Storage Empty,Stacking,E,Luu rong,A-33-06-4,TCTCI,VNTTS,VNTTS,15/01/2024 01:10:23,,Empty,EMPTY,2.3,A,TRUE,FALSE,,,,,,,,,,Hold,,Hang noi,,,,,
VLC,BISU2840316,20DC,22G0,"Mop xung quanh va da,Cong thanh,Cong tay, Rach ron,Cu muc ri set,nut san ngoai",,,,37,STORAGE/0000/0000,STORAGE,CN,CX,Storage Empty,Stacking,E,Luu rong,A-33-05-3,TCTCI,VNTTS,VNTTS,15/01/2024 01:20:44,,Empty,EMPTY,2.3,A,TRUE,FALSE,,,,,,,,,,Hold,,Hang noi,,,,,
VLC,BISU2832199,20DC,22G0,"Mop xung quanh va da,Cong thanh,Cong tay, Rach ron,Cu muc ri set,nut san ngoai",CONT THANH LY,,,37,STORAGE/0000/0000,STORAGE,CN,CX,Storage Empty,Stacking,E,Luu rong,A-33-05-1,TCTCI,VNTTS,VNTTS,15/01/2024 01:24:26,,Empty,EMPTY,2.3,A,TRUE,FALSE,,,,,,,,,,Hold,,Hang noi,,,,,
